功夫侠客铜人僵尸	56	7	6000	42	2
气功铜人僵尸	56	30	7000	42	2
/
未来僵尸	2	10	270	42	0
路障未来僵尸	4	30	640	42	1
铁桶未来僵尸	8	40	1370	42	1
喷射器僵尸	5	40	450	42	1
电磁盾僵尸	10	15	500	42	1
机甲路障僵尸	20	40	2500	42	1
迪斯科3000	24	40	2000	42	1
机甲橄榄球僵尸	24	40	2200	42	1
机甲巨人僵尸	50	25	3600	42	2
/
农夫僵尸	2	10	270	42	0
路障农夫僵尸	4	30	640	42	1
铁桶农夫僵尸	8	40	1370	42	1
骑士僵尸	12	45	1870	42	1
小丑僵尸	10	35	600	32	1
魔法师僵尸	14	35	700	32	1
国王僵尸	16	20	1000	32	1
恶龙小鬼僵尸	4	20	0	42	1
黑暗巨人僵尸	40	30	3600	42	2
/
飞机头僵尸	2	10	270	32	0
路障飞机头僵尸	4	30	640	32	1
铁桶飞机头僵尸	8	40	1370	32	1
路障比基尼僵尸	4	30	640	32	1
铁桶比基尼僵尸	8	40	1370	32	1
浮潜僵尸	6	30	490	32	1
冲浪僵尸	14	40	1190	32	1
章鱼僵尸	14	35	1300	32	1
渔夫僵尸	16	25	1000	32	1
深海巨人僵尸	40	30	3600	42	2
/
洞穴僵尸	2	10	270	42	0
洞穴路障僵尸	4	30	640	42	1
洞穴石桶僵尸	8	40	1370	42	1
冰砖僵尸	12	45	1870	42	1
雪人小鬼僵尸	2	10	0	32	1
猎人僵尸	14	35	1000	32	1
渡渡鸟骑士僵尸	14	35	490	46	1
穴居僵尸	14	35	670	32	1
冰鼬僵尸	6	30	270	32	1
地懒巨人僵尸	40	30	3600	42	2
/
普通飞行员僵尸	2	10	270	42	0
路障飞行员僵尸	4	30	440	42	1
铁桶飞行员僵尸(A型)	8	40	770	42	1
铁桶飞行员僵尸(B型)	8	40	1370	42	1
战斗机僵尸	2	10	750	70	1
双舱飞机僵尸	14	35	1200	170	1
飞弹僵尸	4	10	1	无	1
闪电枪僵尸	14	35	700	42	1
仲裁者-X型	14	40	3000	180	1
飞行巨人僵尸	40	30	2700	150	2
/
海盗僵尸	2	10	270	32	0
路障海盗僵尸	4	30	640	32	1
铁桶海盗僵尸	8	40	1370	32	1
飞索僵尸	5	15	270	32	1
海鸥僵尸	5	40	270	32	1
滚桶僵尸	10	20	1370	64+32	1
小鬼僵尸炮	16	15	600	62	1
海盗船长僵尸	12	10	600	32	1
海盗巨人僵尸	30	30	3600	42	2
/
摇滚僵尸	2	10	270	32	0
摇滚路障僵尸	4	30	640	32	1
摇滚铁桶僵尸	8	40	1370	32	1
摇滚小鬼僵尸	2	10	0	32	1
朋克僵尸	6	10	350	32	1
闪动僵尸	6	10	700	32	1
说唱僵尸	6	10	350	32	1
霹雳舞僵尸	6	10	350	32	1
街机僵尸	10	10	700	32	1
录音机僵尸	6	10	350	32	1
空	/	/	/	/	1
重金属巨人僵尸	40	30	3600	62	2
/
侏罗纪普通僵尸	2	10	270	32	0
侏罗纪路障僵尸	4	30	640	32	1
侏罗纪铁桶僵尸	8	40	1570	32	1
侏罗纪龙骨化石僵尸	12	45	2070	32	1
侏罗纪小鬼僵尸	2	10	0	32	1
侏罗纪野人僵尸	10	45	1570	32	1
空	/	/	/	/	1
侏罗纪巨人僵尸	40	30	5400	62	2
/
普通僵尸	2	10	270	32	0
路障僵尸	4	30	640	32	1
铁桶僵尸	8	40	1370	32	1
小鬼僵尸	2	10	0	42	1
粉丝小鬼僵尸	4	30	0	32	1
气球僵尸	8	30	250	42	1
报纸僵尸	14	40	650	32	1
全明星僵尸	24	35	1570	42	1
空	/	/	/	/	1
巨人僵尸	30	30	3600	42	2
/
